,id,popularity,original_title,director,runtime,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj,income_adj
0,135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Universal Studios,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774
1,135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Amblin Entertainment,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774
2,135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Legendary Pictures,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774
3,135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Fuji Television Network,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774
4,135397,32.985763,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,1254445953.243774
5,76341,28.419936,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures,6185,7.1,2015,137999939.280026,348161292.489031,210161353.20900503
6,76341,28.419936,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,210161353.20900503
7,262500,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,Summit Entertainment,2480,6.3,2015,101199955.47201899,271619025.407628,170419069.935609
8,262500,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,Mandeville Films,2480,6.3,2015,101199955.47201899,271619025.407628,170419069.935609
9,262500,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,Red Wagon Entertainment,2480,6.3,2015,101199955.47201899,271619025.407628,170419069.935609
10,262500,13.112507,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,NeoReel,2480,6.3,2015,101199955.47201899,271619025.407628,170419069.935609
11,140607,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,Lucasfilm,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785
12,140607,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,Truenorth Productions,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785
13,140607,11.173103999999999,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785
14,168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,Universal Pictures,2947,7.3,2015,174799923.08803302,1385748801.47052,1210948878.382487
15,168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,Original Film,2947,7.3,2015,174799923.08803302,1385748801.47052,1210948878.382487
16,168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,Media Rights Capital,2947,7.3,2015,174799923.08803302,1385748801.47052,1210948878.382487
17,168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,Dentsu,2947,7.3,2015,174799923.08803302,1385748801.47052,1210948878.382487
18,168259,9.335014,Furious 7,James Wan,137,Action|Crime|Thriller,One Race Films,2947,7.3,2015,174799923.08803302,1385748801.47052,1210948878.382487
19,281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,Regency Enterprises,3929,7.2,2015,124199945.352024,490314247.02173096,366114301.66970694
20,281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,Appian Way,3929,7.2,2015,124199945.352024,490314247.02173096,366114301.66970694
21,281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,CatchPlay,3929,7.2,2015,124199945.352024,490314247.02173096,366114301.66970694
22,281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,Anonymous Content,3929,7.2,2015,124199945.352024,490314247.02173096,366114301.66970694
23,281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.02173096,366114301.66970694
24,87101,8.654359,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,Paramount Pictures,2598,5.8,2015,142599937.256027,405355075.683766,262755138.427739
25,87101,8.654359,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,262755138.427739
26,286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation,4572,7.6,2015,99359956.2816192,547749654.3101519,448389698.02853274
27,286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,Scott Free Productions,4572,7.6,2015,99359956.2816192,547749654.3101519,448389698.02853274
28,286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,Mid Atlantic Films,4572,7.6,2015,99359956.2816192,547749654.3101519,448389698.02853274
29,286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,International Traders,4572,7.6,2015,99359956.2816192,547749654.3101519,448389698.02853274
30,286217,7.6674,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.3101519,448389698.02853274
31,211672,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,Universal Pictures,2893,6.5,2015,68079970.0448131,1064192016.7955099,996112046.7506969
32,211672,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.7955099,996112046.7506969
33,150540,6.326804,Inside Out,Pete Docter,94,Comedy|Animation|Family,Walt Disney Pictures,3935,8.0,2015,160999929.16003102,785411574.698907,624411645.538876
34,150540,6.326804,Inside Out,Pete Docter,94,Comedy|Animation|Family,Pixar Animation Studios,3935,8.0,2015,160999929.16003102,785411574.698907,624411645.538876
35,150540,6.326804,Inside Out,Pete Docter,94,Comedy|Animation|Family,Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.16003102,785411574.698907,624411645.538876
36,206647,6.200282,Spectre,Sam Mendes,148,Action|Adventure|Crime,Columbia Pictures,3254,6.2,2015,225399900.824043,810220283.783075,584820382.9590319
37,206647,6.200282,Spectre,Sam Mendes,148,Action|Adventure|Crime,Danjaq,3254,6.2,2015,225399900.824043,810220283.783075,584820382.9590319
38,206647,6.200282,Spectre,Sam Mendes,148,Action|Adventure|Crime,B24,3254,6.2,2015,225399900.824043,810220283.783075,584820382.9590319
