tweet_id,timestamp,rating_numerator,rating_denominator,name,age_stages,retweet_count,favorite_count,jpg_url,img_num,predictions,results
892420643555336193,2017-08-01 16:23:56,13,10,Phineas,,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,False
892177421306343426,2017-08-01 00:17:27,13,10,Tilly,,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,chihuahua,True
891815181378084864,2017-07-31 00:18:03,12,10,Archie,,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,chihuahua,True
891689557279858688,2017-07-30 15:58:51,13,10,Darla,,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,False
891327558926688256,2017-07-29 16:00:24,12,10,Franklin,,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,True
891087950875897856,2017-07-29 00:08:17,13,10,,,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,chesapeake_bay_retriever,True
890971913173991426,2017-07-28 16:27:12,13,10,Jax,,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,appenzeller,True
890729181411237888,2017-07-28 00:22:40,13,10,,,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,pomeranian,True
890609185150312448,2017-07-27 16:25:51,13,10,Zoey,,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,irish_terrier,True
890240255349198849,2017-07-26 15:59:51,14,10,Cassie,doggo,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke,True
890006608113172480,2017-07-26 00:31:25,13,10,Koda,,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,samoyed,True
889880896479866881,2017-07-25 16:11:53,13,10,Bruno,,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,french_bulldog,True
889665388333682689,2017-07-25 01:55:32,13,10,,puppo,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,pembroke,True
889638837579907072,2017-07-25 00:10:02,12,10,Ted,,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,french_bulldog,True
889531135344209921,2017-07-24 17:02:04,13,10,Stuart,puppo,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,True
889278841981685760,2017-07-24 00:19:32,13,10,Oliver,,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,True
